code,ctp_eng,ctp_kor
11,Seoul,서울특별시
26,Busan,부산광역시
27,Daegu,대구광역시
28,Incheon,인천광역시
29,Gwangju,광주광역시
30,Daejeon,대전광역시
31,Ulsan,울산광역시
36,Sejong-si,세종특별자치시
11,Seoul,서울
26,Busan,부산
27,Daegu,대구
28,Incheon,인천
29,Gwangju,광주
30,Daejeon,대전
31,Ulsan,울산
36,Sejong-si,세종
50,Jeju-do,제주
41,Gyeonggi-do,경기
43,Chungcheongbuk-do,충청도
44,Chungcheongnam-do,충청도
45,Jeollabuk-do,전라도
46,Jellanam-do,전라도
47,Gyeongsangbuk-do,경상도
48,Gyeongsangnam-do,경상도
50,Jeju-do,제주도
41,Gyeonggi-do,경기도
42,Gangwon-do,강원도
43,Chungcheongbuk-do,충청북도
44,Chungcheongnam-do,충청남도
45,Jeollabuk-do,전라북도
46,Jellanam-do,전라남도
47,Gyeongsangbuk-do,경상북도
48,Gyeongsangnam-do,경상남도
50,Jeju-do,제주특별자치도
11110,Jongno-gu,종로구
11140,Jung-gu,중구
11170,Yongsan-gu,용산구
11200,Seongdong-gu,성동구
11215,Gwangjin-gu,광진구
11230,Dongdaemun-gu,동대문구
11260,Jungnang-gu,중랑구
11290,Seongbuk-gu,성북구
11305,Gangbuk-gu,강북구
11320,Dobong-gu,도봉구
11350,Nowon-gu,노원구
11380,Eunpyeong-gu,은평구
11410,Seodaemun-gu,서대문구
11440,Mapo-gu,마포구
11470,Yangcheon-gu,양천구
11500,Gangseo-gu,강서구
11530,Guro-gu,구로구
11545,Geumcheon-gu,금천구
11560,Yeongdeungpo-gu,영등포구
11590,Dongjak-gu,동작구
11620,Gwanak-gu,관악구
11650,Seocho-gu,서초구
11680,Gangnam-gu,강남구
11710,Songpa-gu,송파구
11740,Gangdong-gu,강동구
26110,Jung-gu,중구
26140,Seo-gu,서구
26170,Dong-gu,동구
26200,Yeongdo-gu,영도구
26230,Busanjin-gu,부산진구
26260,Dongnae-gu,동래구
26290,Nam-gu,남구
26320,Buk-gu,북구
26350,Haeundae-gu,해운대구
26380,Saha-gu,사하구
26410,Geumjeong-gu,금정구
26440,Gangseo-gu,강서구
26470,Yeonje-gu,연제구
26500,Suyeong-gu,수영구
26530,Sasang-gu,사상구
26710,Gijang-gun,기장군
27110,Jung-gu,중구
27140,Dong-gu,동구
27170,Seo-gu,서구
27200,Nam-gu,남구
27230,Buk-gu,북구
27260,Suseong-gu,수성구
27290,Dalseo-gu,달서구
27710,Dalseong-gun,달성군
28110,Jung-gu,중구
28140,Dong-gu,동구
28177,Michuhol-gu,미추홀구
28185,Yeonsu-gu,연수구
28200,Namdong-gu,남동구
28237,Bupyeong-gu,부평구
28245,Gyeyang-gu,계양구
28260,Seo-gu,서구
28710,Ganghwa-gun,강화군
28720,Ongjin-gun,옹진군
29110,Dong-gu,동구
29140,Seo-gu,서구
29155,Nam-gu,남구
29170,Buk-gu,북구
29200,Gwangsan-gu,광산구
30110,Dong-gu,동구
30140,Jung-gu,중구
30170,Seo-gu,서구
30200,Yuseong-gu,유성구
30230,Daedeok-gu,대덕구
31110,Jung-gu,중구
31140,Nam-gu,남구
31170,Dong-gu,동구
31200,Buk-gu,북구
31710,Ulju-gun,울주군
36110,Sejong-si,세종특별자치시
41111,"Jangan-gu, Suwon-si",수원시 장안구
41113,"Gwonseon-gu, Suwon-si",수원시 권선구
41115,"Paldal-gu, Suwon-si",수원시 팔달구
41117,"Yeongtong-gu, Suwon-si",수원시 영통구
41131,"Sujeong-gu, Seongnam-si",성남시 수정구
41133,"Jungwon-gu, Seongnam-si",성남시 중원구
41135,"Bundang-gu, Seongnam-si",성남시 분당구
41150,Uijeongbu-si,의정부시
41171,"Manan-gu, Anyang-si",안양시만안구
41173,"Dongan-gu, Anyang-si",안양시동안구
41190,Bucheon-si,부천시
41210,Gwangmyeong-si,광명시
41220,Pyeongtaek-si,평택시
41250,Dongducheon-si,동두천시
41271,"Sangnok-gu, Ansan-si",안산시상록구
41273,"Danwon-gu, Ansan-si",안산시단원구
41281,"Deogyang-gu, Goyang-si",고양시덕양구
41285,"Ilsandong-gu, Goyang-si",고양시일산동구
41287,"Ilsanseo-gu, Goyang-si",고양시일산서구
41290,Gwacheon-si,과천시
41310,Guri-si,구리시
41360,Namyangju-si,남양주시
41370,Osan-si,오산시
41390,Siheung-si,시흥시
41410,Gunpo-si,군포시
41430,Uiwang-si,의왕시
41450,Hanam-si,하남시
41461,"Cheoin-gu, Yongin-si",용인시처인구
41463,"Giheung-gu, Yongin-si",용인시기흥구
41465,"Suji-gu, Yongin-si",용인시수지구
41480,Paju-si,파주시
41500,Icheon-si,이천시
